,0
0,4
1,2
2,1
3,4
4,1
5,0
6,3
7,1
8,0
9,5
10,4
11,4
12,4
13,5
14,1
15,5
16,3
17,4
18,1
19,0
20,5
21,0
22,1
23,2
24,4
25,4
26,0
27,2
28,3
29,1
30,5
31,0
32,2
33,2
34,0
35,5
36,4
37,0
38,4
39,1
40,1
41,2
42,1
43,2
44,2
45,4
46,0
47,0
48,5
49,0
50,4
51,5
52,0
53,4
54,2
55,5
56,0
57,0
58,2
59,2
60,1
61,5
62,3
63,4
64,5
65,5
66,0
67,2
68,5
69,5
70,2
71,0
72,4
73,5
74,5
75,3
76,2
77,0
78,5
79,3
80,2
81,2
82,0
83,2
84,1
85,2
86,0
87,3
88,4
89,2
90,1
91,2
92,5
93,0
94,4
95,2
96,5
97,3
98,1
99,0
100,5
101,0
102,3
103,4
104,5
105,5
106,3
107,2
108,1
109,4
110,4
111,1
112,0
113,0
114,1
115,3
116,4
117,2
118,2
119,0
120,1
121,1
122,3
123,2
124,5
125,2
126,0
127,5
128,0
129,4
130,3
131,1
132,3
133,4
134,5
135,1
136,5
137,1
138,5
139,2
140,1
141,4
142,1
143,4
144,2
145,1
146,0
147,5
148,2
149,3
150,5
151,5
152,5
153,4
154,5
155,3
156,5
157,2
158,2
159,4
160,0
161,2
162,5
163,3
164,5
165,5
166,1
167,0
168,1
169,2
170,4
171,1
172,5
173,4
174,1
175,4
176,4
177,4
178,0
179,1
180,4
181,0
182,1
183,0
184,4
185,3
186,5
187,2
188,2
189,5
190,0
191,0
192,1
193,3
194,2
195,5
196,3
197,1
198,1
199,2
200,1
201,0
202,1
203,5
204,5
205,4
206,1
207,2
208,2
209,0
210,2
211,1
212,1
213,1
214,4
215,5
216,1
217,2
218,5
219,0
220,1
221,2
222,3
223,2
224,4
225,1
226,5
227,2
228,3
229,5
230,0
231,0
232,4
233,2
234,5
235,0
236,5
237,2
238,0
239,5
240,3
241,0
242,0
243,0
244,5
245,1
246,0
247,1
248,5
249,0
250,0
251,3
252,1
253,5
254,3
255,2
256,4
257,4
258,3
259,1
260,1
261,0
262,4
263,5
264,2
265,4
266,2
267,2
268,0
269,1
270,0
271,2
272,2
273,1
274,3
275,3
276,2
277,1
278,5
279,0
280,3
281,3
282,1
283,1
284,2
285,5
286,3
287,2
288,3
289,3
290,0
291,0
292,0
293,5
294,4
295,2
296,4
297,5
298,0
299,3
300,0
301,2
302,5
303,1
304,1
305,5
306,5
307,1
308,4
309,0
310,3
311,5
312,2
313,0
314,5
315,4
316,4
317,0
318,1
319,2
320,4
321,0
322,0
323,3
324,4
325,3
326,3
327,3
328,0
329,0
330,3
331,4
332,1
333,0
334,3
335,0
336,3
337,4
338,3
339,2
340,4
341,3
342,1
343,2
344,1
345,0
346,1
347,5
348,4
349,4
350,3
351,1
352,3
353,4
354,2
355,3
356,1
357,2
358,2
359,5
360,2
361,1
362,1
363,4
364,4
365,4
366,3
367,5
368,0
369,4
370,5
371,0
372,4
373,5
374,0
375,4
376,5
377,4
378,3
379,0
380,2
381,3
382,5
383,2
384,4
385,0
386,5
387,1
388,5
389,4
390,0
391,2
392,3
393,2
394,4
395,5
396,4
397,5
398,3
399,5
400,5
401,2
402,0
403,3
404,3
405,3
406,5
407,1
408,0
409,5
410,5
411,5
412,2
413,1
414,4
415,2
416,3
417,3
418,0
419,5
420,1
421,2
422,1
423,5
424,0
425,1
426,0
427,4
428,3
429,1
430,4
431,2
432,0
433,5
434,0
435,1
436,5
437,1
438,4
439,1
440,3
441,0
442,1
443,0
444,5
445,5
446,1
447,0
448,0
449,5
450,1
451,4
452,5
453,1
454,3
455,0
456,4
457,0
458,1
459,4
460,0
461,5
462,4
463,2
464,4
465,4
466,0
467,0
468,4
469,4
470,0
471,5
472,1
473,5
474,1
475,0
476,0
477,1
478,3
479,4
480,2
481,2
482,3
483,5
484,1
485,3
486,5
487,1
488,1
489,2
490,1
491,5
492,0
493,3
494,1
495,5
496,2
497,3
498,1
499,2
500,4
501,0
502,2
503,3
504,2
505,2
506,2
507,4
508,3
509,3
510,2
511,3
512,2
513,5
514,0
515,2
516,5
517,0
518,0
519,0
520,4
521,5
522,4
523,1
524,5
525,4
526,1
527,5
528,5
529,5
530,2
531,4
532,4
533,2
534,4
535,5
536,5
537,5
538,1
539,0
540,1
541,0
542,2
543,0
544,5
545,4
546,0
547,1
548,3
549,4
550,2
551,4
552,0
553,1
554,1
555,1
556,3
557,5
558,3
559,2
560,1
561,1
562,4
563,2
564,4
565,1
566,4
567,5
568,3
569,4
570,2
571,1
572,0
573,3
574,4
575,1
576,4
577,5
578,1
579,0
580,1
581,1
582,5
583,2
584,2
585,1
586,0
587,0
588,0
589,0
590,4
591,3
592,5
593,3
594,1
595,1
596,4
597,2
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,3
645,3
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
