sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,label
0,51.56724987303047,288358.4,,1.855899851073442,201.46016937716544,6.582260591331908,-0.5163212312625405,563677060039.2289,222221.21093951675,200279748641772.97,0.6386201490914223,374.1281105352,,23.296019852369533,1.770835313809508,,-19700098916337.2,78237.33069496758,,21.093579323756767,1980.0,306213.90833981097,-0.014424574572194412,281.4340552364177,,149363.69755089033,29204.70045964845,14.714167069567635,362.31267952112887,0.7151668760983684,-17.373264805021638,88.9191829759153,44.0,18.83652755401912,0.4233018593671552,13.293114626075091,-10680405134436.754,161975.0491334227,11.859543123834401,-766573330.772352,78871.42890326724,123.66763141804495,-3636982362.8034787,-722077.423860074,17.044581594133195,-0.5755835123542067,16.79440380514825,488956.8315929159,656991837.4219034,54.37603594866208,0.2029015532107612,2922956750889.3003,,1.1336688835198998,288358.4,326695.7585411815,11.33558583771021,0.0,-28931.172367126368,2.739276880801346,72954675.2,69954.55744652101,0.10158748870387946,326.3495809560171,1126.4,,-3628777041705.498,190.21922552020226,130170.94744770779,326272.7926895662,221.25055991423753,1.0774786926428686,3380545.557113662,,0.8706923938630658,,10.764011611990744,0.0,4505.6,1204906384540253.5,0.8800000000000001,55.115536394855184,29717680228.75477,0.5140998949536356,,0.00011206173754307881,5960016768866.676,153249592962.46854,18022.4,162326320.33231968,560163.8875235134,-23649615675546.547,,,-8349021.831772682,71.19527554560202,-806627.1043114223,-14.70189125027718,31459.628135493964,254.58203362196716,0.0,-201450635.93653664,159.29934979908018,0.6032114714335304,,-5.256074689042938,180.97731005500697,4
1,63.80487395694334,288358.4,1.1068024904341949,1.0503866387479677,391.6053751403615,13.323439251764395,4.6628713141218165,,-144247.35755374026,2601893673398147.0,1.0861446113814013,326.1336928290363,418722.2723038024,-5.301864049627363,-19.50980229002489,1.1003031355795811,-19859928980440.13,36117.88835720589,500219.24887617596,1.2867448206847671,1980.0,55618.94945483259,1.0302045531256845,,1.4871986221024018,33158.403807439514,,-4.920181182146075,497.75550703488767,0.3180716577504971,-1.8421283771594181,84.15825623806117,44.0,7.274291373160754,0.3255077948022305,25.33663174585657,-9288290569785.84,754753.2360075761,5.092253587941162,-4106938773.589555,270770.1326817014,195.63087555495602,,453473.127065434,23.294095460427236,0.02737425056594284,4.502489104975694,593479.3757850478,572692599.1989157,16.50129579637516,2.274495285211501,-963436920354486.4,2683.706182369513,0.4392093328443308,288358.4,253025.2386593739,6.95494972534816,0.0,139981.8560458773,-0.8371764762979941,72954675.2,247821.25030175285,0.07842028558860846,263.0666078713196,1126.4,11.0,40329058550817.57,159.50703995389037,109253.61666566382,190810.76745016265,168.40736295520682,1.0533390039807524,-11567871.5245293,0.9050428436036,0.5890242569958943,576.866150643444,5.763207651959625,0.0,4505.6,3492401537567512.0,0.8800000000000001,5.980508077887121,3665765545.528101,1.0587202278157422,-54563152390462.91,-0.009153128469361541,3072689540840.6,-215405640884.21213,18022.4,-242828676.17268088,,15271220520701.287,1126.4,126615.26545157234,-3733148.8070091596,150.1134668322772,965890.7887525538,-8.959939876751177,42830.52685518894,270.5807788381929,0.0,-1534970109.4988356,,0.5062199847798937,0.5526540538419848,16.50595154760515,314.7832630936285,5
2,49.138526953044796,288358.4,1.1116490401657249,0.7671268375274415,130.70806715723114,6.485547004554273,5.6968151989391975,547460262931.0385,-428840.3269504315,136337349742930.72,1.0817803148171117,219.969119653618,591600.6482629173,79.06756800410483,40.616482016630975,1.0641982153179166,-17808967366836.97,80189.87781337263,501687.4086687914,4.126652679673248,,,,289.22368997757616,0.0015828311664570127,130141.66427696332,25980.625164623998,58.40498583633258,309.38804762645697,0.6767538918111019,57.99354198199768,42.289618605526144,44.0,53.4733621777286,0.8529042049040673,48.85451383621847,6342156586030.48,283984.40712994523,11.417884862543795,974084770.2144387,526446.4312298916,,3286440016.0145483,-320194.43082039844,56.42166515265228,-0.2234995200243466,89.68578392972776,699063.2962416655,-406255082.3079949,31.187098105013035,0.7654794986296659,3370303125311133.0,408740.9755018941,2.009177972387309,288358.4,130917.65865864273,0.7808249178331783,0.0,-107999.86211614053,46.8189510174284,72954675.2,-129230.20072335767,1.4256223197452649,277.28770126595873,,11.0,-18833862850347.44,186.1373488374659,471631.08870401955,23915.919138439014,210.17057253037984,0.12642181510830927,3147729.419557214,0.12530763799660327,0.3322714307096435,646.278002831921,60.31385255487577,0.0,4505.6,-5286736960557249.0,0.8800000000000001,-8.408136586250464,2346113618.914596,0.8606419305185123,-163806278128758.06,0.004483695078403965,742141042386.611,-36012407468.70698,,-365943063.73740375,324528.41425520513,302887496064.25165,1126.4,521631.43973656604,-8606245.062476983,113.37041873292378,573317.6578607026,32.159666882389324,249963.2418085889,160.2070674301041,0.0,799834524.8363974,112.63263852062059,0.0800995044505124,0.23592030099584085,64.70758136046615,183.30461026186316,2
3,,288358.4,1.1091685094876509,,258.5210760586712,0.7167371783120036,23.23846147867071,-353989071646.4523,,-1338631609011755.5,1.0657011885762444,211.9317935626956,31913.335987694238,38.36849706833672,15.12930983394024,1.072051858720546,-38594422596911.39,56962.80243445702,,11.521965374344836,1980.0,48570.265090538895,-0.04251530712912547,379.66076482963723,0.10888427241248023,111459.87704137238,73669.71226712152,,450.0520276764666,0.548168058341006,-1.2542841990395743,101.61045889913821,44.0,-8.186967929612443,0.1489383498855542,8.887644447035244,-6314870277449.782,775776.1629495091,29.633056590575308,-223480926.35613683,430018.6863419266,197.57570681560568,5854595481.391488,-2145647.5812039496,28.1169284063962,-1.411620515028528,24.150335846885962,95616.76008789123,355638175.6129207,44.283762745861495,0.873804078599392,4819793300104967.0,40226.10949874819,0.7090967063352449,288358.4,116720.7800022584,2.0259563560159606,0.0,18866.845209798623,21.365067864782766,72954675.2,1089225.6373625232,0.4661939928844683,207.8357216418446,1126.4,11.0,-18277500980406.7,196.09734801069007,101919.13072408413,477515.3221379744,184.41882150141757,0.09257176381469226,6007535.341552719,0.8861332991922506,,,11.927536381842033,0.0,4505.6,4262112396629342.5,0.8800000000000001,15.189201120037767,-30249250706.062218,1.083505023873299,,,9758060408754.924,207334984013.50214,,466300537.4222368,517509.5794482429,-3089239696458.295,1126.4,584809.5557428668,5511006.043112697,134.21416580940877,842309.2655008306,1.815809059713428,125478.2972011183,196.2232950761479,0.0,-92469199.99239676,138.43147015881544,2.548782990407572,1.4148096358244522,-9.662398583776984,212.302669727051,2
4,76.52083096766717,288358.4,1.1134102668318349,5.7954083322472725,256.03899653431733,-1.803482667835384,14.04049463661056,-107101421127.06917,649972.2665698213,2800250056199205.0,1.0711772909540804,191.65767296213767,494381.2058009418,63.50408997452117,43.186256765262044,,3033964825593.5938,56960.89213297079,152001.58167869507,17.088711409129864,1980.0,362673.08628885396,-0.04242767923474408,255.134036812172,1.4439582201358139,142818.30173828654,111064.119072474,45.72102364241569,207.66190154953196,0.03017348899598518,46.4764962603872,-8.440324646137134,44.0,40.43150985633852,2.57998812322014,56.62964009124307,-7166254633114.035,565267.6149171545,22.227890276192298,-981435014.4382732,178477.7961015377,,5228219791.916079,377942.9482989639,66.94651877113182,0.6035045004650287,29.346067268552407,682728.789867902,-12510640.147026673,21.502855858100066,5.073628112465412,-410194440761350.9,,0.9922808291156024,288358.4,107884.60437161449,20.11327243564953,0.0,-28670.33900895045,37.20829985889286,72954675.2,-19764.14894335834,,,1126.4,,-5310754679750.273,156.70230315386638,,761314.1796194972,67.03411125056871,0.0795827204067008,6959102.564509952,1.5200317356861104,0.7991172640679626,597.3029397587619,40.091062063956755,0.0,4505.6,-523427633643381.6,0.8800000000000001,110.76688229164623,-60330415344.021034,1.6979596483879391,14065249085179.115,0.03246337116162066,,-17544224790.829987,18022.4,-177142253.79689094,40515.18916065567,-6973631747254.067,1126.4,136345.36523643901,1325283.3523986752,135.67208370036658,657832.1969822991,40.623904166336544,186266.42301911602,179.08388296728197,0.0,-679635050.5761693,259.85873964602683,0.3376431807340925,0.2288319520970109,59.73306946834555,135.54123318471184,2
5,69.38270767406951,288358.4,1.1047765321590353,,305.69804417831426,13.083625267469992,1.245861563536536,,,-148159614218934.5,1.0808550584824597,,505905.34834188345,12.798578054344413,9.889140925250867,1.0799442881822023,-16718644061621.322,99362.06818766656,262170.52132797136,31.112856381978087,1980.0,459695.2141258838,1.9765260541438203,365.6021580289142,1.115839906241361,258148.09340522942,125970.09351348689,-27.89708989756321,396.669244117819,0.04506967711213155,-8.505478038386162,63.45057656506877,44.0,6.283735411182515,3.2009226269616446,22.11836370290548,13474439963713.756,512983.2394097942,11.107885149061039,1317519374.2180734,,213.16050219261336,2270934431.733973,-1338731.2192434878,28.46762788652929,-0.6848531717100549,-2.5381050960305305,,,-41.13394296253664,1.0824980999507696,-431668073951714.3,606075.967519572,0.7943051471631548,288358.4,428872.65511120646,-27.847515451250494,0.0,-38278.48097529128,-3.3090741412618963,72954675.2,119241.54597139244,0.2046769548822704,,1126.4,11.0,3600688828296.412,88.73325506556861,160366.68923190495,328640.48799256893,100.51784608492538,1.0683129863802523,11209817.618973568,0.40257651698503344,0.9434439188495528,395.1166009887065,27.12071468269461,0.0,4505.6,-4193168669681280.0,0.8800000000000001,,-2338554393.090612,,-78183349915557.64,0.0048664437983521975,,-16502506012.611832,18022.4,-149727781.44881263,275005.27731205325,-4331196067717.5225,1126.4,617015.0516695997,21382916.245753188,144.1870643312663,-256981.82617496816,-8.20419646330178,213691.03045132206,174.13950618715916,0.0,-508552566.5958085,77.98716901146291,,0.4532946588312625,-6.270081023656603,187.44222200382129,5
6,52.02835017484779,,1.1031174181059775,1.5478281241163618,209.21861395277958,1.8524635412156176,7.63221434880893,-594573430351.8689,-60071.82735612744,1958074972526712.5,0.4872180233640507,326.67729556837446,451021.00006920897,20.711572447982093,21.76154836845786,0.9955892737310524,40534297633626.4,35376.296826846345,422064.697810035,9.810141416260944,1980.0,242153.2890225836,0.012016482706132078,339.775069465018,3.4367721299810965,216480.86775331871,143336.5781581958,17.8064450574916,326.67264893209597,0.22190255580382506,3.692791117493857,50.20548383893155,44.0,40.059923157851976,4.569995409115214,20.01393017714991,-19218975994902.645,741111.4055872629,16.816472899684523,268636399.75973815,165088.49878822948,175.02429832038928,-801363607.8312851,-1814109.676769692,50.54110855986178,-0.4781658211052943,13.444943767784158,579644.2177125036,-53244449.89284524,12.176127966175391,0.07800209312800388,4180825629216079.0,476040.3153120358,0.499325524973014,288358.4,219921.6625210349,17.72961118153795,0.0,-28576.24254768265,24.69644568356812,,64251.78453103812,3.5230448850284217,349.1935882709884,,11.0,6495719415779.817,117.37293104407655,355482.8196302817,744460.2625098516,254.63877909475852,0.09323327066471104,-8510075.970100079,0.4473132236575785,0.1315577392456631,343.4471066990102,14.54506954679349,0.0,4505.6,-2593775244716021.0,,-7.102229310733689,-24135721071.98729,0.3901759981677189,-75927395462802.8,0.0105305743078979,31264563687.21672,-40851183582.802284,18022.4,478483301.03263366,479078.6236523766,6236161910999.099,1126.4,,-3144502.2299791165,140.1451899470139,-380305.60077202495,10.414199094409089,,363.80223610984484,0.0,-162793003.67550468,160.96914483462385,0.3973010190143398,1.4628042397896497,-12.761005706316274,241.7601877897776,2
7,73.83668242786649,288358.4,1.1076335091127119,0.6334080015411993,184.56182776151226,12.5619859012869,-0.905920700630254,443567585760.7791,-284754.6744433545,-2433975065202916.5,1.0852576259720592,362.37103331697716,157460.06543021245,0.9189272676355876,13.709689616461914,0.07264168192493248,-26640888091438.93,97058.439623665,156777.77836625092,13.908494623314756,1980.0,450306.379380149,0.04145132965858433,246.00733609562062,0.33901684094910883,100694.98571091516,44760.565408917595,-4.719689221750187,111.87625818084929,1.7224175387422114,3.8427989343446423,121.08133871323895,44.0,-8.147942404736993,0.532222360798948,-10.2178036645385,-17631339455613.63,124519.29190881555,18.01309542171591,622714148.8866308,166055.9924343692,160.3106737452656,-3874301190.7972507,-704486.3087708028,29.72680117738193,0.07919297849711908,35.48825296211713,306279.82292684924,162918913.50440034,-36.7565934590764,0.8377701056948665,,90767.9982344189,1.656555967233495,288358.4,371535.45819703507,20.84966728048688,0.0,-58377.696698078624,-25.2936546925608,,900093.9075380681,,,1126.4,11.0,-12624527524180.836,135.58137006664975,210297.05105908113,450801.89414000994,59.84745217225999,1.0779780960770158,5265185.2078374345,0.24135241622403894,0.012276677037869223,407.70066265769236,11.101317688397772,0.0,4505.6,-85235567117597.95,0.8800000000000001,-89.9098943247547,-3521011128.0200963,0.4645590415165494,122912616633105.28,0.015970939113244154,12591006723350.627,-15322894411.982231,18022.4,-528769602.12004715,158470.53829274466,6005851354656.412,1126.4,407938.89172228717,6186445.603282632,135.13345368386936,-867662.0259911139,-10.085475692376546,126283.1482942041,244.02882498602662,0.0,533595943.8595586,241.45232340643108,0.644559485962536,0.7019149519015887,7.404277504375567,50.247619473941434,3
8,112.047222786443,288358.4,1.102054072502843,,194.1994672789844,22.006422148636847,-17.001179436413118,110222597979.13884,-145636.42129624894,1019213676636750.0,1.0513188412266383,253.32222302410364,324939.7307076186,4.587783598666166,6.838336487775267,0.058804232351345236,8617565419714.852,85414.12550824964,223733.66358355974,45.75961457043085,1980.0,263820.66203360393,-0.005508725851845985,,0.23225739673716936,16119.707451889732,1922.131986789871,17.415832308478667,326.03990804554394,0.1274339606324717,-10.145831157963203,1.7464552056407925,44.0,-17.85521861003153,1.0834236942926956,-0.6075191012430454,-3157965468558.249,767497.8469052863,,959703161.2933133,156775.23480074757,230.2075189648204,-1717362540.7547908,427119.1039949583,26.68215483302389,-0.8701002734185898,17.683045375146076,5851.455717754889,161856357.20572466,-26.893563312020564,0.10453387326478687,-2663035682906335.0,109767.7018929176,0.2465705833897935,288358.4,348344.54232614994,19.44497181004969,0.0,-80870.23059757121,24.478942041763073,,15579.104791237309,0.9151527775369944,317.056540443648,1126.4,11.0,-20369777197711.027,45.17232191541289,477326.4367703842,119785.24688344155,260.18993091971055,1.0255901221596997,1824905.7522232009,0.9453270301576374,0.094060805980635,664.8987799473048,-15.891869270656214,0.0,4505.6,,0.8800000000000001,20.14614445695761,40335782824.693504,0.26891661359549984,10204083469074.176,-7.553431974830459e-05,,-26135981545.73226,18022.4,-249153572.33685875,177934.39464872517,3071497429322.261,1126.4,634116.9239741694,4355887.032849425,130.2166606082492,41255.46081571269,8.105604811507503,250790.0917820565,267.2767242378009,0.0,-271268594.2837531,209.9153016912956,1.586125061291472,3.6308703042848696,4.044244592798572,319.8087627298004,0
9,65.01815139323601,288358.4,1.103728047140932,4.75155635535766,158.14150867896814,21.13976937799754,-11.439777701991554,-453298348038.47797,-428159.4668372367,-140930249967260.53,1.0427293452348445,,339343.3261045123,0.7490935948869291,-3.717364902382109,0.08563165909155034,-11226069239847.863,,129237.11621811413,64.02956365123748,1980.0,205481.8942642512,-0.0307834630424779,235.43103996562004,0.2654841897924132,,,-1.0204023278672358,352.91805778835266,1.0002716516100454,,113.54064496055315,44.0,2.4439856080256166,0.7871514019082059,37.55821070042058,13000921536319.664,347466.3280377097,15.01031624576241,19959939.5246428,53219.398821204886,158.92077572104583,-1891353489.8628087,1306041.058588052,25.69687599830468,0.5160520539255087,10.248439138633529,94027.21796491387,16250093.496956175,,4.791483861912279,-5604923560035630.0,243748.7979953448,1.0257026434558911,,268536.9902281241,,0.0,66706.64523477228,7.450459095776633,72954675.2,-784384.1756154258,1.6673591360274869,199.5306389030324,1126.4,11.0,10905570848440.312,149.9631270621795,276846.61691446794,739141.3866658589,78.33018668216548,1.0732971808535718,-2559310.80305924,0.7047063535246383,0.5273218567085296,391.7271869012156,5.978796322708,0.0,4505.6,-4556277656408375.0,0.8800000000000001,47.112898611301844,-15907231528.169909,0.20088438374740028,-65667255333853.77,-0.005432239866879842,-4546757797597.231,213887535674.31406,,336876333.83241946,595398.327349253,14937035439807.072,1126.4,495348.61291641,-20598294.321735047,,-954479.4825169572,-21.024723444676578,207157.92546734167,,0.0,-239481236.60923105,266.36487903830255,2.1070708709654427,1.892996052599627,-15.447453774265758,128.76372903128126,0
